entity_type,entity_id,center_name,identity_source_id,identity_record_id,identity_basis
county,10200020,چالوس,geonames-iran-2026-09-19,139223,geonames_admin_feature
county,10200021,جویبار,geonames-iran-2026-09-19,129933,geonames_admin_feature
county,10200022,گلوگاه,geonames-iran-2026-09-19,134255,geonames_admin_feature
county,10200023,فریدونکنار,geonames-iran-2026-09-19,134602,geonames_admin_feature
county,10200024,عباس آباد,geonames-iran-2026-09-19,145303,geonames_admin_feature
county,10200025,سورک,geonames-iran-2026-09-19,113760,geonames_admin_feature
county,10200026,کیاکلا,geonames-iran-2026-09-19,126962,geonames_admin_feature
county,10200027,شیرگاه,geonames-iran-2026-09-19,115001,geonames_admin_feature
county,10200028,کلاردشت,geonames-iran-2026-09-19,8781,geonames_admin_feature
county,10300010,میانه,geonames-iran-2026-09-19,124082,geonames_admin_feature
county,10300011,هشترود,geonames-iran-2026-09-19,142554,geonames_admin_feature
county,10300012,بناب,geonames-iran-2026-09-19,140889,geonames_admin_feature
county,10300013,بستان آباد,geonames-iran-2026-09-19,23290,geonames_admin_feature
county,10300014,شبستر,geonames-iran-2026-09-19,116126,geonames_admin_feature
county,10300015,کلیبر,geonames-iran-2026-09-19,129201,geonames_admin_feature
county,10300016,هریس,geonames-iran-2026-09-19,131528,geonames_admin_feature
county,10300019,جلفا,coordinate-center-verification-2026-09-19,county:10300019,verified_override
county,10300020,ملکان,geonames-iran-2026-09-19,125112,geonames_admin_feature
county,10300021,آذرشهر,geonames-iran-2026-09-19,6686970,geonames_admin_feature
county,10300022,اسکو,geonames-iran-2026-09-19,121781,geonames_admin_feature
county,10300023,قره آغاج,geonames-iran-2026-09-19,22451,geonames_admin_feature
county,10300024,ورزقان,geonames-iran-2026-09-19,112121,geonames_admin_feature
county,10300025,عجب شیر,geonames-iran-2026-09-19,144443,geonames_admin_feature
county,10300026,خمارلو,geonames-iran-2026-09-19,127409,geonames_admin_feature
county,10300027,هوراند,coordinate-center-verification-2026-09-19,county:10300027,verified_override
county,10300028,لیلان,coordinate-center-verification-2026-09-19,county:10300028,verified_override
