geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
114259	Sirjan	Sirjan	SYJ,Sa'idabad,Sa‘īdābād,Sircan,Sirdschan,Sirdzan,Sirdzhan,Sirdżan,Sirdžan,Sirjan,Sīrjān,sirajana,syrjan,xi er zhan,Серҷон,Сирджан,سيرجان,سیرجان,सीरजान,錫爾詹	29.45137	55.6809	P	PPL	IR		29				199704		1744	Asia/Tehran	2026-06-14
114262	Sīrīk-e Kohneh	Sirik-e Kohneh	Sirik,Sirik-e Kohneh,Sīrīk,Sīrīk-e Kohneh,syryk,syryk khnh,سيريك,سيريک کهنه	26.5055	57.122	P	PPL	IR		11				0		16	Asia/Tehran	2024-07-19
114489	Sīāhkal	Siahkal	Seyah Kal,Seyāh Kal,Siah Kal,Siahkal,Siahkal Mahalleh,Siyah Kal,Sīyāh Kal,Sīāh Kal,Sīāhkal,Sīāhkal Maḩalleh,syahkl,سیاهکل	37.15328	49.87136	P	PPLA2	IR		08				19924		47	Asia/Tehran	2025-05-13
114584	Shūshtar	Shushtar	Shooshtar,Shushtar,Shushtehr,Shustar,Shūshtar,Shūstar,shwshtr,Шуштэр,شوشتر	32.04972	48.84843	P	PPLA2	IR		15	449558			101878		50	Asia/Tehran	2026-05-19
114593	Shūsh	Shush	Shoosh,Shush,Shūsh,Susa,Suse,Susy,Suza,Suzo,Suzy,Súsy,Sūsa,shwsh,susa,Сузы,شوش,スーサ	32.1942	48.2436	P	PPLA2	IR		15				77148		71	Asia/Tehran	2026-05-19
114930	Shīrvān	Shirvan	Shirvan,Shīrvān,shyrwan,شیروان	37.39669	57.92952	P	PPLA2	IR		43				82790		1093	Asia/Tehran	2024-07-24
115001	Shīr Gāh	Shir Gah	Shir Gah,Shīr Gāh,shyr gah,شير گاه	36.2987	52.89021	P	PPLA2	IR		35				0		217	Asia/Tehran	2026-07-13
115019	Shiraz	Shiraz	Chimaz,Chiraz,SYZ,Schiras,Sheroz,Shiraz,Shyraz,Shīrāz,Siraz,Siraza,Sirazas,Sirazo,Siráz,Sjiraz,Sziraz,Xiraz,chi ras,she la zi,shirazi,shirazu,shyraz,silajeu,Ŝirazo,Şiraz,Şîraz,Širaz,Širazas,Šíráz,Šīrāz,Šīrāza,Σιράζ,Шероз,Шираз,Шыраз,Շիրազ,שיראז,شيراز,شیراز,ชีราซ,შირაზი,シーラーズ,設拉子,시라즈	29.61031	52.53113	P	PPLA	IR		07	449583			1249942		1545	Asia/Tehran	2024-07-22
115226	Sheshtamad	Sheshtamad	Sheshtamad,Sheshtomad,shshtmd,ششتمد	35.95969	57.76673	P	PPLA2	IR		42				3108		1357	Asia/Tehran	2026-06-24
115607	Shalamzār	Shalamzar	Shalamzar,Shalamzār,shlmzar,شلمزار	32.0465	50.81639	P	PPLA2	IR		03				6899		2029	Asia/Tehran	2025-05-22
115770	Shahr-e Kord	Shahr-e Kord	CQD,QHK,Shahr Kord,Shahr Kurd,Shahr-e Kord,Shahrekord,Shakhre-Kord,shhr krd,Шахре-Корд,شهر كرد	32.32612	50.8572	P	PPLA	IR		03				129153		2066	Asia/Tehran	2019-03-07
115781	Shahr-e Bābak	Shahr-e Babak	Shahr Babak,Shahr Bābak,Shahr-e Babak,Shahr-e Bābak,Shahr-i-Babak,Shahr-i-Bābak,shhr babk,شهر بابک	30.1165	55.1186	P	PPLA2	IR		29				51620		1846	Asia/Tehran	2026-04-28
116076	Shaft	Shaft	Bazar Shaft,Bāzār Shaft,Shaft,shft,شفت	37.1702	49.3998	P	PPLA2	IR		08				8184		45	Asia/Tehran	2025-10-29
116102	Shādegān	Shadegan	Fallabiyeh,Fallahiyeh,Fallehiyeh,Fallābīyeh,Fallāḩīyeh,Shadegan,Shadeganskie,Shadgan,Shādegān,Shādgān,shadgan,Шадеганские,شادگان	30.64924	48.66497	P	PPLA2	IR		15				41733		10	Asia/Tehran	2026-05-16
