county_id,county_name,province_id,center_name,latitude,longitude,source_id,source_feature_id,source_name
10000013,فراهان,100,فرمهین,34.50383,49.68437,geonames-iran-2026-09-19,134788,Farmahīn
10100010,لنگرود,101,لنگرود,37.19548,50.15263,geonames-iran-2026-09-19,125897,Langarūd
10100011,لاهیجان,101,لاهیجان,37.20416,50.00919,geonames-iran-2026-09-19,126015,Lāhījān
10100012,شفت,101,شفت,37.1702,49.3998,geonames-iran-2026-09-19,116076,Shaft
10100013,املش,101,املش,37.0966,50.18709,geonames-iran-2026-09-19,143539,Amlash
10100014,رضوانشهر,101,رضوانشهر,37.54947,49.13736,geonames-iran-2026-09-19,118532,Reẕvānshahr
10100015,سیاهکل,101,سیاهکل,37.15328,49.87136,geonames-iran-2026-09-19,114489,Sīāhkal
10100016,ماسال,101,ماسال,37.3631,49.1329,geonames-iran-2026-09-19,141015,Māsāl
10100017,خمام,101,خمام,37.39016,49.65846,geonames-iran-2026-09-19,127415,Khomām
10200010,قایم شهر,102,قایم شهر,36.46671,52.86762,geonames-iran-2026-09-19,120695,Qā’em Shahr
10200014,نور,102,نور,36.57168,52.0153,geonames-iran-2026-09-19,113797,Nūr
10200015,نوشهر,102,نوشهر,36.64852,51.49621,geonames-iran-2026-09-19,121959,Nowshahr
10200016,بابلسر,102,بابلسر,36.69929,52.65011,geonames-iran-2026-09-19,142358,Bābolsar
10200018,محمودآباد,102,محمودآباد,36.63191,52.26286,geonames-iran-2026-09-19,125328,Maḩmūdābād
10200019,نکا,102,نکا,36.65079,53.29905,geonames-iran-2026-09-19,122397,Nekā
