county_id,county_name,province_id,center_name,latitude,longitude,source_id
1210004,مهریز,121,مهریز,31.58428,54.4428,geonames-iran-2026-09-19
1210005,یزد,121,یزد,31.89722,54.3675,geonames-iran-2026-09-19
1210006,میبد,121,میبد,32.25014,54.01658,geonames-iran-2026-09-19
1210007,ابرکوه,121,ابرکوه,31.1289,53.2824,geonames-iran-2026-09-19
1210008,اشکذر,121,اشکذر,31.99679,54.20852,geonames-iran-2026-09-19
1210009,خاتم,121,هرات,30.05407,54.37294,geonames-iran-2026-09-19
1220001,ابوموسی,122,ابوموسی,25.864,55.023,geonames-iran-2026-09-19
1220002,بندر عباس,122,بندر عباس,27.1865,56.2808,geonames-iran-2026-09-19
1220003,بندر لنگه,122,بندر لنگه,26.56207,54.88382,geonames-iran-2026-09-19
1220004,قشم,122,قشم,26.9492,56.2691,geonames-iran-2026-09-19
1220005,میناب,122,میناب,27.13104,57.08716,geonames-iran-2026-09-19
1220006,جاسک,122,بندر جاسک,25.653,57.775,geonames-iran-2026-09-19
1220007,رودان,122,دهبارز,27.44194,57.19198,geonames-iran-2026-09-19
1220008,حاجی آباد,122,حاجی آباد,28.3091,55.9017,geonames-iran-2026-09-19
1220009,بستک,122,بستک,27.19908,54.36676,geonames-iran-2026-09-19
1230001,تهران,123,تهران,35.75,51.5148,geonames-iran-2026-09-19
1230002,دماوند,123,دماوند,35.71842,52.06958,geonames-iran-2026-09-19
1230003,ری,123,ری,35.59354,51.43997,geonames-iran-2026-09-19
1230004,شمیرانات,123,تجریش,35.8044,51.4256,geonames-iran-2026-09-19
1230006,ورامین,123,ورامین,35.3242,51.6457,geonames-iran-2026-09-19
1230009,شهریار,123,شهریار,35.65884,51.05775,geonames-iran-2026-09-19
1240001,اردبیل,124,اردبیل,38.2498,48.2933,geonames-iran-2026-09-19
1240002,بیله سوار,124,بیله سوار,39.37961,48.35463,geonames-iran-2026-09-19
1240003,خلخال,124,خلخال,37.61837,48.52928,geonames-iran-2026-09-19
1240004,مشگین شهر,124,مشگین شهر,38.399,47.682,geonames-iran-2026-09-19
1240005,گرمی,124,گرمی,39.0215,48.0801,geonames-iran-2026-09-19
1240006,پارس آباد,124,پارس آباد,39.6482,47.9174,geonames-iran-2026-09-19
